trt	ano	mes	recebidos
14	2007	12	262
15	2007	12	5129
16	2007	12	374
17	2007	12	590
18	2007	12	813
19	2007	12	380
20	2007	12	274
21	2007	12	469
22	2007	12	261
23	2007	12	493
24	2007	12	562
1	2008	1	6086
2	2008	1	7883
3	2008	1	2394
4	2008	1	5519
5	2008	1	2531
6	2008	1	1578
7	2008	1	463
8	2008	1	1029
9	2008	1	2083
10	2008	1	1060
11	2008	1	891
12	2008	1	1458
13	2008	1	519
14	2008	1	214
15	2008	1	6028
16	2008	1	297
17	2008	1	1062
18	2008	1	964
19	2008	1	367
20	2008	1	408
21	2008	1	595
22	2008	1	353
23	2008	1	472
24	2008	1	448
1	2008	2	5081
2	2008	2	9125
3	2008	2	5288
4	2008	2	5505
5	2008	2	2682
6	2008	2	1467
7	2008	2	738
8	2008	2	895
9	2008	2	3236
10	2008	2	1238
11	2008	2	817
12	2008	2	1591
13	2008	2	540
14	2008	2	358
15	2008	2	5859
16	2008	2	389
17	2008	2	806
18	2008	2	937
19	2008	2	376
20	2008	2	448
21	2008	2	888
22	2008	2	409
23	2008	2	615
24	2008	2	608
1	2008	3	4684
2	2008	3	10103
3	2008	3	5160
4	2008	3	6117
5	2008	3	2796
6	2008	3	1483
7	2008	3	540
8	2008	3	970
9	2008	3	3375
10	2008	3	1068
11	2008	3	968
12	2008	3	1707
13	2008	3	490
14	2008	3	300
15	2008	3	4085
16	2008	3	495
17	2008	3	726
18	2008	3	940
19	2008	3	380
20	2008	3	351
21	2008	3	738
22	2008	3	367
23	2008	3	463
24	2008	3	530
1	2008	4	4734
2	2008	4	13313
3	2008	4	5351
4	2008	4	5247
5	2008	4	3398
6	2008	4	1332
7	2008	4	605
8	2008	4	1334
9	2008	4	4052
10	2008	4	1099
11	2008	4	1122
12	2008	4	1823
13	2008	4	577
14	2008	4	259
15	2008	4	8496
16	2008	4	532
17	2008	4	1506
18	2008	4	1134
19	2008	4	552
20	2008	4	356
21	2008	4	727
22	2008	4	387
23	2008	4	553
24	2008	4	579
1	2008	5	4230
2	2008	5	10735
3	2008	5	5906
4	2008	5	6641
5	2008	5	2877
6	2008	5	1593
7	2008	5	670
8	2008	5	1270
9	2008	5	4545
10	2008	5	1095
11	2008	5	942
12	2008	5	1806
13	2008	5	527
14	2008	5	296
15	2008	5	6887
16	2008	5	284
17	2008	5	1076
18	2008	5	1279
19	2008	5	441
20	2008	5	291
21	2008	5	885
22	2008	5	423
23	2008	5	750
24	2008	5	769
1	2008	6	4851
2	2008	6	10915
3	2008	6	6272
4	2008	6	7931
5	2008	6	2657
6	2008	6	1869
7	2008	6	711
8	2008	6	1248
